16
1,5,5,5,5,5,5,5,7,5,5,5,5,5,7,6
3,6,3,7,4,1,7,5,12,3,4,3,4,2,8,10
10,9,12,9,6,3,13,4,3,13,7,13,7,13,6,10
9,6,3,4,9,12,1,7,12,2,8,2,8,3,12,10
3,12,10,1,7,5,5,12,2,9,7,13,5,12,2,10
10,3,13,5,12,3,7,5,15,6,9,7,4,3,14,10
10,10,2,2,3,12,8,1,12,9,6,9,6,10,10,10
10,11,15,15,12,3,5,7,6,3,13,4,10,10,10,10
10,10,8,8,1,15,4,9,12,9,6,3,12,10,10,10
10,11,7,4,1,13,6,1,6,3,14,11,4,10,10,10
10,8,9,5,6,1,13,5,13,14,8,9,6,10,10,10
10,1,6,1,13,5,5,5,6,8,3,4,11,12,10,10
9,6,11,4,3,6,3,6,9,6,10,2,10,2,10,10
3,12,10,3,14,10,10,11,6,11,14,9,12,11,12,10
11,4,11,12,10,10,10,10,9,14,11,6,2,10,1,14
9,5,13,5,12,9,12,8,1,13,12,8,9,13,5,12
