image_path,image_name,label
./data/vehicles/GTI_Far/image0000.png,image0000.png,vehicle
./data/vehicles/GTI_Far/image0001.png,image0001.png,vehicle
./data/vehicles/GTI_Far/image0002.png,image0002.png,vehicle
./data/vehicles/GTI_Far/image0003.png,image0003.png,vehicle
./data/vehicles/GTI_Far/image0004.png,image0004.png,vehicle
./data/vehicles/GTI_Far/image0005.png,image0005.png,vehicle
./data/vehicles/GTI_Far/image0006.png,image0006.png,vehicle
./data/vehicles/GTI_Far/image0007.png,image0007.png,vehicle
./data/vehicles/GTI_Far/image0008.png,image0008.png,vehicle
./data/vehicles/GTI_Far/image0009.png,image0009.png,vehicle
./data/vehicles/GTI_Far/image0010.png,image0010.png,vehicle
./data/vehicles/GTI_Far/image0014.png,image0014.png,vehicle
./data/vehicles/GTI_Far/image0015.png,image0015.png,vehicle
./data/vehicles/GTI_Far/image0016.png,image0016.png,vehicle
./data/vehicles/GTI_Far/image0018.png,image0018.png,vehicle
./data/vehicles/GTI_Far/image0019.png,image0019.png,vehicle
./data/vehicles/GTI_Far/image0021.png,image0021.png,vehicle
./data/vehicles/GTI_Far/image0022.png,image0022.png,vehicle
./data/vehicles/GTI_Far/image0023.png,image0023.png,vehicle
./data/vehicles/GTI_Far/image0024.png,image0024.png,vehicle
./data/vehicles/GTI_Far/image0027.png,image0027.png,vehicle
./data/vehicles/GTI_Far/image0029.png,image0029.png,vehicle
./data/vehicles/GTI_Far/image0030.png,image0030.png,vehicle
./data/vehicles/GTI_Far/image0033.png,image0033.png,vehicle
./data/vehicles/GTI_Far/image0036.png,image0036.png,vehicle
./data/vehicles/GTI_Far/image0037.png,image0037.png,vehicle
./data/vehicles/GTI_Far/image0039.png,image0039.png,vehicle
./data/vehicles/GTI_Far/image0040.png,image0040.png,vehicle
./data/vehicles/GTI_Far/image0041.png,image0041.png,vehicle
./data/vehicles/GTI_Far/image0042.png,image0042.png,vehicle
./data/vehicles/GTI_Far/image0043.png,image0043.png,vehicle
./data/vehicles/GTI_Far/image0044.png,image0044.png,vehicle
./data/vehicles/GTI_Far/image0045.png,image0045.png,vehicle
./data/vehicles/GTI_Far/image0046.png,image0046.png,vehicle
./data/vehicles/GTI_Far/image0047.png,image0047.png,vehicle
./data/vehicles/GTI_Far/image0048.png,image0048.png,vehicle
./data/vehicles/GTI_Far/image0049.png,image0049.png,vehicle
./data/vehicles/GTI_Far/image0050.png,image0050.png,vehicle
./data/vehicles/GTI_Far/image0051.png,image0051.png,vehicle
./data/vehicles/GTI_Far/image0052.png,image0052.png,vehicle
./data/vehicles/GTI_Far/image0053.png,image0053.png,vehicle
./data/vehicles/GTI_Far/image0054.png,image0054.png,vehicle
