image_path,image_name,label
./data/non-vehicles/Extras/extra1.png,extra1.png,non-vehicle
./data/non-vehicles/Extras/extra10.png,extra10.png,non-vehicle
./data/non-vehicles/Extras/extra100.png,extra100.png,non-vehicle
./data/non-vehicles/Extras/extra1000.png,extra1000.png,non-vehicle
./data/non-vehicles/Extras/extra1001.png,extra1001.png,non-vehicle
./data/non-vehicles/Extras/extra1002.png,extra1002.png,non-vehicle
./data/non-vehicles/Extras/extra1003.png,extra1003.png,non-vehicle
./data/non-vehicles/Extras/extra1004.png,extra1004.png,non-vehicle
./data/non-vehicles/Extras/extra1005.png,extra1005.png,non-vehicle
./data/non-vehicles/Extras/extra1006.png,extra1006.png,non-vehicle
./data/non-vehicles/Extras/extra1007.png,extra1007.png,non-vehicle
./data/non-vehicles/Extras/extra1008.png,extra1008.png,non-vehicle
./data/non-vehicles/Extras/extra1009.png,extra1009.png,non-vehicle
./data/non-vehicles/Extras/extra101.png,extra101.png,non-vehicle
./data/non-vehicles/Extras/extra1010.png,extra1010.png,non-vehicle
./data/non-vehicles/Extras/extra1011.png,extra1011.png,non-vehicle
./data/non-vehicles/Extras/extra1012.png,extra1012.png,non-vehicle
./data/non-vehicles/Extras/extra1013.png,extra1013.png,non-vehicle
./data/non-vehicles/Extras/extra1014.png,extra1014.png,non-vehicle
./data/non-vehicles/Extras/extra1015.png,extra1015.png,non-vehicle
./data/non-vehicles/Extras/extra1016.png,extra1016.png,non-vehicle
./data/non-vehicles/Extras/extra1017.png,extra1017.png,non-vehicle
./data/non-vehicles/Extras/extra1018.png,extra1018.png,non-vehicle
./data/non-vehicles/Extras/extra1019.png,extra1019.png,non-vehicle
./data/non-vehicles/Extras/extra102.png,extra102.png,non-vehicle
./data/non-vehicles/Extras/extra1020.png,extra1020.png,non-vehicle
./data/non-vehicles/Extras/extra1021.png,extra1021.png,non-vehicle
./data/non-vehicles/Extras/extra1022.png,extra1022.png,non-vehicle
./data/non-vehicles/Extras/extra1023.png,extra1023.png,non-vehicle
./data/non-vehicles/Extras/extra1024.png,extra1024.png,non-vehicle
./data/non-vehicles/Extras/extra1025.png,extra1025.png,non-vehicle
./data/non-vehicles/Extras/extra1026.png,extra1026.png,non-vehicle
./data/non-vehicles/Extras/extra1027.png,extra1027.png,non-vehicle
./data/non-vehicles/Extras/extra1028.png,extra1028.png,non-vehicle
./data/non-vehicles/Extras/extra1029.png,extra1029.png,non-vehicle
./data/non-vehicles/Extras/extra103.png,extra103.png,non-vehicle
./data/non-vehicles/Extras/extra1030.png,extra1030.png,non-vehicle
./data/non-vehicles/Extras/extra1031.png,extra1031.png,non-vehicle
./data/non-vehicles/Extras/extra1032.png,extra1032.png,non-vehicle
./data/non-vehicles/Extras/extra1033.png,extra1033.png,non-vehicle
./data/non-vehicles/Extras/extra1034.png,extra1034.png,non-vehicle
./data/non-vehicles/Extras/extra1035.png,extra1035.png,non-vehicle
./data/non-vehicles/Extras/extra1036.png,extra1036.png,non-vehicle
./data/non-vehicles/Extras/extra1037.png,extra1037.png,non-vehicle
./data/non-vehicles/Extras/extra1038.png,extra1038.png,non-vehicle
./data/non-vehicles/Extras/extra1039.png,extra1039.png,non-vehicle
./data/non-vehicles/Extras/extra104.png,extra104.png,non-vehicle
./data/non-vehicles/Extras/extra1040.png,extra1040.png,non-vehicle
./data/non-vehicles/Extras/extra1041.png,extra1041.png,non-vehicle
./data/non-vehicles/Extras/extra1042.png,extra1042.png,non-vehicle
./data/non-vehicles/Extras/extra1043.png,extra1043.png,non-vehicle
./data/non-vehicles/Extras/extra1044.png,extra1044.png,non-vehicle
./data/non-vehicles/Extras/extra1045.png,extra1045.png,non-vehicle
./data/non-vehicles/Extras/extra1046.png,extra1046.png,non-vehicle
./data/non-vehicles/Extras/extra1047.png,extra1047.png,non-vehicle
./data/non-vehicles/Extras/extra1048.png,extra1048.png,non-vehicle
./data/non-vehicles/Extras/extra1049.png,extra1049.png,non-vehicle
./data/non-vehicles/Extras/extra105.png,extra105.png,non-vehicle
./data/non-vehicles/Extras/extra1050.png,extra1050.png,non-vehicle
./data/non-vehicles/Extras/extra1051.png,extra1051.png,non-vehicle
./data/non-vehicles/Extras/extra1052.png,extra1052.png,non-vehicle
./data/non-vehicles/Extras/extra1053.png,extra1053.png,non-vehicle
./data/non-vehicles/Extras/extra1054.png,extra1054.png,non-vehicle
./data/non-vehicles/Extras/extra1055.png,extra1055.png,non-vehicle
./data/non-vehicles/Extras/extra1056.png,extra1056.png,non-vehicle
./data/non-vehicles/Extras/extra1057.png,extra1057.png,non-vehicle
./data/non-vehicles/Extras/extra1058.png,extra1058.png,non-vehicle
./data/non-vehicles/Extras/extra1059.png,extra1059.png,non-vehicle
./data/non-vehicles/Extras/extra106.png,extra106.png,non-vehicle
./data/non-vehicles/Extras/extra1060.png,extra1060.png,non-vehicle
./data/non-vehicles/Extras/extra1061.png,extra1061.png,non-vehicle
./data/non-vehicles/Extras/extra1062.png,extra1062.png,non-vehicle
./data/non-vehicles/Extras/extra1063.png,extra1063.png,non-vehicle
./data/non-vehicles/Extras/extra1064.png,extra1064.png,non-vehicle
./data/non-vehicles/Extras/extra1065.png,extra1065.png,non-vehicle
./data/non-vehicles/Extras/extra1066.png,extra1066.png,non-vehicle
./data/non-vehicles/Extras/extra1067.png,extra1067.png,non-vehicle
./data/non-vehicles/Extras/extra1068.png,extra1068.png,non-vehicle
./data/non-vehicles/Extras/extra1069.png,extra1069.png,non-vehicle
./data/non-vehicles/Extras/extra107.png,extra107.png,non-vehicle
./data/non-vehicles/Extras/extra1070.png,extra1070.png,non-vehicle
./data/non-vehicles/Extras/extra1071.png,extra1071.png,non-vehicle
./data/non-vehicles/Extras/extra1072.png,extra1072.png,non-vehicle
./data/non-vehicles/Extras/extra1073.png,extra1073.png,non-vehicle
./data/non-vehicles/Extras/extra1074.png,extra1074.png,non-vehicle
./data/non-vehicles/Extras/extra1075.png,extra1075.png,non-vehicle
./data/non-vehicles/Extras/extra1076.png,extra1076.png,non-vehicle
./data/non-vehicles/Extras/extra1077.png,extra1077.png,non-vehicle
./data/non-vehicles/Extras/extra1078.png,extra1078.png,non-vehicle
